"","age","rater","video","stimulus","sex","trial","corr"
"355","M72",4,"M72_S04_m_HA","Hammer","m",2,1
"356","M72",4,"M72_S02_m_HA","Hammer","m",3,0
"357","M72",4,"M72_S09_m_HA","Hammer","m",4,1
"358","M72",4,"M72_S08_m_HA","Hammer","m",5,1
"359","M72",4,"M72_S05_f_HA","Hammer","f",1,1
"360","M72",4,"M72_S03_f_HA","Hammer","f",2,0
"361","M72",4,"M72_S10_f_HA","Hammer","f",3,1
"362","M72",4,"M72_S06_f_HA","Hammer","f",4,1
"363","M72",4,"M72_S11_f_HA","Hammer","f",5,1
"364","M72",4,"M72_S07_f_HA","Hammer","f",6,1
"365","M48",4,"M48_S13_f_HA","Hammer","f",1,1
"366","M48",4,"M48_S07_f_HA","Hammer","f",2,1
"367","M48",4,"M48_S02_f_HA","Hammer","f",3,1
"368","M48",4,"M48_S08_f_HA","Hammer","f",4,0
"369","M48",4,"M48_S10_f_HA","Hammer","f",5,1
"370","M48",4,"M48_S06_m_KA","Comb","m",1,0
"371","M48",4,"M48_S01_m_KA","Comb","m",2,0
"372","M48",4,"M48_S05_m_KA","Comb","m",3,1
"373","M48",4,"M48_S15_m_KA","Comb","m",4,1
"374","M72",4,"M72_S02_m_KA","Comb","m",1,0
"375","M72",4,"M72_S08_m_KA","Comb","m",2,1
"376","M72",4,"M72_S12_m_KA","Comb","m",3,1
"377","M72",4,"M72_S04_m_KA","Comb","m",4,0
"378","M72",4,"M72_S09_m_KA","Comb","m",5,1
"379","M72",4,"M72_S05_f_KA","Comb","f",1,1
"380","M72",4,"M72_S03_f_KA","Comb","f",2,1
"381","M72",4,"M72_S07_f_KA","Comb","f",3,0
"382","M72",4,"M72_S06_f_KA","Comb","f",4,0
"383","M72",4,"M72_S10_f_KA","Comb","f",5,1
"384","M72",4,"M72_S11_f_KA","Comb","f",6,1
"385","M48",4,"M48_S10_f_KA","Comb","f",1,0
"386","M48",4,"M48_S07_f_KA","Comb","f",2,1
"387","M48",4,"M48_S13_f_KA","Comb","f",3,0
"388","M48",4,"M48_S02_f_KA","Comb","f",4,0
"389","M72",5,"M72_S03_f_GA","Fork","f",1,1
"390","M72",5,"M72_S11_f_GA","Fork","f",2,0
"391","M72",5,"M72_S05_f_GA","Fork","f",3,0
"392","M72",5,"M72_S07_f_GA","Fork","f",4,1
"393","M72",5,"M72_S10_f_GA","Fork","f",5,1
"394","M72",5,"M72_S06_f_GA","Fork","f",6,1
"395","M48",5,"M48_S01_m_GA","Fork","m",1,0
"396","M48",5,"M48_S06_m_GA","Fork","m",2,1
"397","M48",5,"M48_S05_m_GA","Fork","m",3,1
"398","M48",5,"M48_S15_m_GA","Fork","m",4,0
"399","M48",5,"M48_S02_f_GA","Fork","f",1,1
"400","M48",5,"M48_S10_f_GA","Fork","f",2,0
"401","M48",5,"M48_S08_f_GA","Fork","f",3,0
"402","M48",5,"M48_S07_f_GA","Fork","f",4,1
"403","M48",5,"M48_S13_f_GA","Fork","f",5,1
"404","M72",5,"M72_S12_m_GA","Fork","m",1,0
"405","M72",5,"M72_S02_m_GA","Fork","m",2,1
"406","M72",5,"M72_S04_m_GA","Fork","m",3,1
"407","M72",5,"M72_S09_m_GA","Fork","m",4,1
"408","M72",5,"M72_S08_m_GA","Fork","m",5,1
"409","M48",5,"M48_S15_m_NI","Nothing","m",1,0
"410","M48",5,"M48_S06_m_NI","Nothing","m",2,1
"411","M48",5,"M48_S13_f_NI","Nothing","f",1,1
"412","M48",5,"M48_S08_f_NI","Nothing","f",2,0
"413","M48",5,"M48_S07_f_NI","Nothing","f",3,1
"414","M48",5,"M48_S02_f_NI","Nothing","f",4,1
"415","M72",5,"M72_S04_m_NI","Nothing","m",1,1
"416","M72",5,"M72_S09_m_NI","Nothing","m",2,0
"417","M72",5,"M72_S12_m_NI","Nothing","m",3,1
"418","M72",5,"M72_S08_m_NI","Nothing","m",4,1
"419","M72",5,"M72_S02_m_NI","Nothing","m",5,1
"420","M72",5,"M72_S06_f_NI","Nothing","f",1,1
"421","M72",5,"M72_S07_f_NI","Nothing","f",2,0
"422","M72",5,"M72_S11_f_NI","Nothing","f",3,1
"423","M72",5,"M72_S05_f_NI","Nothing","f",4,1
"424","M72",5,"M72_S10_f_NI","Nothing","f",5,1
"425","M72",5,"M72_S03_f_NI","Nothing","f",6,1
"426","M48",5,"M48_S06_m_FA","Bike","m",1,1
"427","M48",5,"M48_S05_m_FA","Bike","m",2,0
"428","M48",5,"M48_S15_m_FA","Bike","m",3,1
"429","M48",5,"M48_S01_m_FA","Bike","m",4,1
"430","M72",5,"M72_S12_m_FA","Bike","m",1,1
"431","M72",5,"M72_S02_m_FA","Bike","m",2,1
"432","M72",5,"M72_S04_m_FA","Bike","m",3,0
"433","M72",5,"M72_S08_m_FA","Bike","m",4,1
"434","M72",5,"M72_S09_m_FA","Bike","m",5,1
"435","M48",5,"M48_S08_f_FA","Bike","f",1,1
"436","M48",5,"M48_S07_f_FA","Bike","f",2,1
"437","M48",5,"M48_S02_f_FA","Bike","f",3,0
"438","M48",5,"M48_S10_f_FA","Bike","f",4,1
"439","M48",5,"M48_S13_f_FA","Bike","f",5,1
"440","M72",5,"M72_S10_f_FA","Bike","f",1,0
"441","M72",5,"M72_S06_f_FA","Bike","f",2,1
"442","M72",5,"M72_S11_f_FA","Bike","f",3,1
"443","M72",5,"M72_S03_f_FA","Bike","f",4,1
"444","M72",5,"M72_S07_f_FA","Bike","f",5,0
"445","M72",5,"M72_S05_f_FA","Bike","f",6,1
"446","M48",5,"M48_S10_f_HA","Hammer","f",1,0
"447","M48",5,"M48_S08_f_HA","Hammer","f",2,0
"448","M48",5,"M48_S07_f_HA","Hammer","f",3,0
"449","M48",5,"M48_S02_f_HA","Hammer","f",4,1
"450","M48",5,"M48_S13_f_HA","Hammer","f",5,1
"451","M72",5,"M72_S12_m_HA","Hammer","m",1,0
"452","M72",5,"M72_S09_m_HA","Hammer","m",2,0
"453","M72",5,"M72_S04_m_HA","Hammer","m",3,0
"454","M72",5,"M72_S08_m_HA","Hammer","m",4,1
"455","M72",5,"M72_S02_m_HA","Hammer","m",5,1
"456","M72",5,"M72_S03_f_HA","Hammer","f",1,1
"457","M72",5,"M72_S06_f_HA","Hammer","f",2,0
