"","age","rater","group","stimulus","phase","day","sex","trial","effort","corr"
"130","M72",7,"M72_d2_S11_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,1,0
"131","M72",7,"M72_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,0,1
"132","M72",7,"M72_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,0,1
"133","M72",8,"M72_d2_S11_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,1,0
"134","M72",8,"M72_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,1,0
"135","M72",8,"M72_d2_S03_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,1,1
"136","M72",8,"M72_d2_S06_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,0,1
"137","M72",8,"M72_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,0,1
"138","M72",8,"M72_d2_S05_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,0,1
"139","M72",9,"M72_d2_S03_f_EN_first.wmv","Duck","Spontaneous","Day2","f",1,1,1
"140","M72",9,"M72_d2_S10_f_EN_first.wmv","Duck","Spontaneous","Day2","f",2,1,1
"141","M72",9,"M72_d2_S11_f_EN_first.wmv","Duck","Spontaneous","Day2","f",3,1,0
"142","M72",9,"M72_d2_S06_f_EN_first.wmv","Duck","Spontaneous","Day2","f",4,0,1
"143","M72",9,"M72_d2_S07_f_EN_first.wmv","Duck","Spontaneous","Day2","f",5,0,1
"144","M72",9,"M72_d2_S05_f_EN_first.wmv","Duck","Spontaneous","Day2","f",6,1,1
"145","M48",1,"M48_d2_S15_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,1,0
"146","M48",1,"M48_d2_S05_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,1
"147","M48",1,"M48_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,1,1
"148","M48",1,"M48_d2_S06_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,1,0
"149","M48",1,"M48_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,0,1
"150","M48",1,"M48_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,1,1
"151","M48",10,"M48_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,1,0
"152","M48",10,"M48_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,0
"153","M48",10,"M48_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,0,1
"154","M48",10,"M48_d2_S06_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,1,0
"155","M48",10,"M48_d2_S05_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,1,0
"156","M48",10,"M48_d2_S15_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,1,0
"157","M48",11,"M48_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,0,1
"158","M48",11,"M48_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,1,0
"159","M48",11,"M48_d2_S06_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,0,1
"160","M48",11,"M48_d2_S05_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,1,1
"161","M48",11,"M48_d2_S15_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,0,1
"162","M48",11,"M48_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,0,0
"163","M48",13,"M48_d2_S06_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,1,1
"164","M48",13,"M48_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,1
"165","M48",13,"M48_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,0,1
"166","M48",13,"M48_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,1,0
"167","M48",13,"M48_d2_S15_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,1,0
"168","M48",13,"M48_d2_S05_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,1,0
"169","M48",2,"M48_d2_S05_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,1,0
"170","M48",2,"M48_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,0
"171","M48",2,"M48_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,1,0
"172","M48",2,"M48_d2_S15_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,0,0
"173","M48",2,"M48_d2_S06_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,1,0
"174","M48",2,"M48_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,0,0
"175","M48",3,"M48_d2_S15_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,0,1
"176","M48",3,"M48_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,0
"177","M48",3,"M48_d2_S05_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,1,0
"178","M48",3,"M48_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,0,1
"179","M48",3,"M48_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,0,1
"180","M48",3,"M48_d2_S06_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,1,0
"181","M48",4,"M48_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,1,0
"182","M48",4,"M48_d2_S06_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,1,1
"183","M48",4,"M48_d2_S15_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,0,0
"184","M48",4,"M48_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,0,1
"185","M48",4,"M48_d2_S05_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,1,1
"186","M48",4,"M48_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,0,1
"187","M48",5,"M48_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,0,1
"188","M48",5,"M48_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,1
"189","M48",5,"M48_d2_S05_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,1,0
"190","M48",5,"M48_d2_S06_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,1,0
"191","M48",5,"M48_d2_S15_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,1,0
"192","M48",5,"M48_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,1,0
"193","M48",6,"M48_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,1,0
"194","M48",6,"M48_d2_S05_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,1,0
"195","M48",6,"M48_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,1,0
"196","M48",6,"M48_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,0,1
"197","M48",6,"M48_d2_S15_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,0,1
"198","M48",6,"M48_d2_S06_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,1,0
"199","M48",7,"M48_d2_S06_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,1,0
"200","M48",7,"M48_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,1
"201","M48",7,"M48_d2_S15_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,0,1
"202","M48",7,"M48_d2_S05_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,1,0
"203","M48",7,"M48_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,0,1
"204","M48",7,"M48_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,1,0
"205","M48",8,"M48_d2_S05_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,1,0
"206","M48",8,"M48_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,0
"207","M48",8,"M48_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,0,1
"208","M48",8,"M48_d2_S15_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,0,1
"209","M48",8,"M48_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,1,0
"210","M48",8,"M48_d2_S06_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,1,0
"211","M48",9,"M48_d2_S05_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,1,0
"212","M48",9,"M48_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,1
"213","M48",9,"M48_d2_S15_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,1,0
"214","M48",9,"M48_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,0,0
"215","M48",9,"M48_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,1,0
"216","M48",9,"M48_d2_S06_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,1,0
"217","M72",1,"M72_d2_S02_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,0,1
"218","M72",1,"M72_d2_S12_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,1
"219","M72",1,"M72_d2_S08_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,0,0
"220","M72",1,"M72_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,1,0
"221","M72",1,"M72_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,0,1
"222","M72",1,"M72_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,1,1
"223","M72",10,"M72_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,0,1
"224","M72",10,"M72_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,1
"225","M72",10,"M72_d2_S12_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,0,1
"226","M72",10,"M72_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,0,1
"227","M72",10,"M72_d2_S08_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,1,0
"228","M72",10,"M72_d2_S02_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,0,1
"229","M72",11,"M72_d2_S09_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,0,1
"230","M72",11,"M72_d2_S12_m_EN_first.wmv","Duck","Spontaneous","Day2","m",2,0,1
"231","M72",11,"M72_d2_S02_m_EN_first.wmv","Duck","Spontaneous","Day2","m",3,0,1
"232","M72",11,"M72_d2_S04_m_EN_first.wmv","Duck","Spontaneous","Day2","m",4,1,0
"233","M72",11,"M72_d2_S01_m_EN_first.wmv","Duck","Spontaneous","Day2","m",5,0,1
"234","M72",11,"M72_d2_S08_m_EN_first.wmv","Duck","Spontaneous","Day2","m",6,1,0
"235","M72",13,"M72_d2_S12_m_EN_first.wmv","Duck","Spontaneous","Day2","m",1,0,1
